protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P39976	D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1	DLD3	65189.5	5.71753	0.0	70	223	6	3	3	3	3	126	285723.0	691179.0	1.31301e+06	4.53371e+06	541508.0	592245.0	2.06277e+06	9.87298e+06	0.0	61133.8	1.0	2.41905	4.59538	15.8675	1.89522	2.07279	7.21947	34.5544	0.0	0.213962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	P25376	General amino acid permease AGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGP1 PE=1 SV=3	AGP1	76897.8	5.99652	0.0	55	55	1	1	1	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	P25373	Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1	GRX1	14413.9	6.54741	0.0	67	106	3	2	3	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Q03048	Cofilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COF1 PE=1 SV=1	COF1	18626.9	5.98704	0.0	99	147	3	2	2	1	1	126	0.0	0.0	0.0	185392.0	0.0	0.0	96864.6	419897.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	P39979	D-amino-acid N-acetyltransferase HPA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPA3 PE=1 SV=2	HPA3	21965.9	6.24691	0.00294551	38	38	1	1	0	1	1	126	268885.0	517613.0	1.27449e+06	2.19726e+06	221218.0	667021.0	1.77846e+06	4.391e+06	223550.0	0.0	1.0	1.92504	4.73993	8.17174	0.822723	2.48069	6.61422	16.3304	0.831396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	P32263	Pyrroline-5-carboxylate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO3 PE=1 SV=1	PRO3	35749.5	6.28747	0.0	69	135	5	3	4	1	1	126	0.0	358577.0	626688.0	1.96199e+06	258436.0	5386.83	809634.0	5.00281e+06	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P32911	Eukaryotic translation initiation factor eIF-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI1 PE=1 SV=1	SUI1	15077.4	6.12556	0.0	55	55	3	1	1	2	1	126	0.0	201824.0	313504.0	939479.0	228965.0	230880.0	532476.0	2.05296e+06	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	P04385	Galactokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAL1 PE=1 SV=4	GAL1	67878.4	7.42684	0.0	126	889	29	13	12	14	11	126	1.99106e+06	5.34252e+06	9.98692e+06	3.66281e+07	2.57623e+06	4.03802e+06	1.50725e+07	7.36677e+07	693316.0	76127.2	1.0	2.69299	5.02147	18.3241	1.28628	2.03134	7.48836	36.4726	0.341611	0.0350323	0.0	3.61908	6.24102	24.3809	1.36937	3.15297	11.2663	53.659	0.634283	0.121835
9	P00549	Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2	CDC19	63925.3	8.2714	0.0	112	1363	78	21	25	34	16	126	7.45364e+06	1.41651e+07	3.62778e+07	1.49475e+08	8.41174e+06	1.23869e+07	4.27112e+07	1.82135e+08	743199.0	592115.0	1.0	1.90429	4.84492	19.8285	1.13934	1.66856	5.73505	24.085	0.0959908	0.0758303	0.0	1.57886	5.41879	26.0567	0.631491	1.44269	6.77068	30.8585	0.172182	0.177337
10	P04037	Cytochrome c oxidase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX4 PE=1 SV=1	COX4	19811.6	6.39669	0.0	78	192	7	3	0	4	3	126	1.19174e+06	1.12565e+06	1.04733e+06	1.21078e+06	1.07407e+06	1.14895e+06	1.72194e+06	3.24496e+06	85507.4	0.0	1.0	0.944544	0.878824	1.01598	0.901263	0.964096	1.44489	2.72287	0.0717499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.28938	4.37313	0.0	0.0
