protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30619	Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC1 PE=1 SV=1	SEC1	97603.0	5.42477	0.0	62	62	1	1	0	1	1	126	0.0	172669.0	282125.0	830626.0	175396.0	200368.0	488144.0	1.31155e+06	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	P39976	D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1	DLD3	65189.5	6.73826	0.0	69	303	7	5	3	4	4	126	3.12789e+06	3.76381e+06	6.16771e+06	1.43165e+07	3.75588e+06	4.3522e+06	8.49948e+06	2.74821e+07	112057.0	649501.0	1.0	1.20331	1.97184	4.57706	1.20077	1.39142	2.71732	8.78614	0.0358252	0.207648	0.0	0.474435	1.69235	7.80429	0.31679	0.466958	2.57368	16.2402	0.0855421	0.501621
3	P25374	Cysteine desulfurase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NFS1 PE=1 SV=2	NFS1	61943.3	6.80225	0.0	56	104	2	2	0	2	2	126	854642.0	1.75774e+06	3.12634e+06	5.89764e+06	1.10895e+06	2.62245e+06	6.39458e+06	1.65242e+07	167627.0	486869.0	1.0	2.0567	3.65807	6.90071	1.29756	3.06848	7.48217	19.3347	0.196137	0.569676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	P25376	General amino acid permease AGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGP1 PE=1 SV=3	AGP1	76897.8	5.71772	0.0	43	43	1	1	0	1	1	126	421911.0	1.54021e+06	2.09057e+06	2.5728e+06	464928.0	1.85067e+06	3.41216e+06	4.0411e+06	64204.7	0.0	1.0	3.65056	4.95499	6.09797	1.10196	4.3864	8.08738	9.57808	0.152176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	P25371	Probable ATP-dependent permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADP1 PE=1 SV=2	ADP1	133422.0	6.46292	0.00393701	35	35	2	1	2	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	P25373	Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1	GRX1	14413.9	6.90278	0.0	87	197	3	3	0	3	3	126	2.30792e+06	6.08032e+06	1.25113e+07	3.57726e+07	2.88103e+06	7.08761e+06	1.65003e+07	3.53274e+07	153019.0	210462.0	1.0	2.63455	5.42104	15.4999	1.24832	3.071	7.14943	15.307	0.0663018	0.0911914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P25372	Thioredoxin-3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX3 PE=1 SV=1	TRX3	17783.9	6.7861	0.00207469	38	38	1	1	0	1	1	126	1.28794e+06	1.79866e+06	2.97901e+06	6.46585e+06	1.78247e+06	2.09344e+06	4.06364e+06	9.45081e+06	0.0	43736.9	1.0	1.39654	2.313	5.02029	1.38397	1.62542	3.15514	7.33791	0.0	0.0339588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Q03048	Cofilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COF1 PE=1 SV=1	COF1	18626.9	7.15813	0.0	126	223	6	3	1	5	3	126	564095.0	3.61364e+06	7.27737e+06	2.2333e+07	1.7255e+06	4.55013e+06	1.04007e+07	3.30738e+07	0.0	427467.0	1.0	6.40608	12.901	39.5909	3.07657	8.06625	18.4378	58.6316	0.0	0.757793	0.0	66.6765	141.422	446.962	23.9246	87.1773	204.696	626.16	0.0	0.0
9	Q00245	GTP-binding protein RHO3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO3 PE=1 SV=2	RHO3	28915.9	6.80853	0.0	58	58	1	1	0	1	1	126	868164.0	2.25316e+06	4.94671e+06	1.26167e+07	834527.0	2.30264e+06	6.50893e+06	1.6409e+07	0.0	0.0	1.0	2.59532	5.6979	14.5326	0.961255	2.65231	7.49735	18.9008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	###REV###Q08225	Reverse sequence, was Probable dipeptidyl peptidase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOL057W PE=1 SV=1	###YOL057W###	94217.0	6.24491	0.00598802	29	29	1	1	0	1	1	126	185831.0	275954.0	879027.0	1.82779e+06	185125.0	163553.0	401163.0	1.11218e+06	0.0	0.0	1.0	1.48498	4.73026	9.83577	0.9962	0.880118	2.15876	5.98492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	P10659	S-adenosylmethionine synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM1 PE=1 SV=2	SAM1	48631.1	6.80757	0.0	61	227	8	2	6	2	2	126	585591.0	2.0862e+06	6.24134e+06	2.01859e+07	1.11476e+06	1.33347e+06	5.70695e+06	4.83007e+07	0.0	0.0	1.0	3.56256	10.6582	34.471	1.90364	2.27713	9.74563	82.482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	Q03193	Uncharacterized membrane protein YDR090C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR090C PE=1 SV=1	YDR090C	38494.5	7.21189	0.00393701	35	35	1	1	0	1	1	126	2.07736e+06	1.22079e+07	1.6287e+07	1.53572e+07	3.13207e+06	1.45976e+07	2.11191e+07	2.01334e+07	363328.0	266942.0	1.0	5.87665	7.84022	7.39264	1.50771	7.02698	10.1663	9.69179	0.174899	0.128501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	P46784|Q08745	40S ribosomal protein S10-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10B PE=1 SV=1|40S ribosomal protein S10-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10A PE=1 SV=1	RPS10B|RPS10A	14925.2|14926.2	7.70879	0.0	58	120	4	3	1	3	2	126	1.24918e+06	3.54917e+06	9.01909e+06	2.45528e+07	2.08088e+06	4.24038e+06	1.51789e+07	4.96685e+07	0.0	314695.0	1.0	2.84119	7.21998	19.6551	1.66579	3.39452	12.1511	39.7607	0.0	0.25192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	P32915	Protein transport protein SEC61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC61 PE=1 SV=1	SEC61	58481.6	5.98584	0.0	59	144	3	3	2	1	1	126	351896.0	406306.0	310868.0	592121.0	705295.0	450992.0	488594.0	581552.0	0.0	0.0	1.0	1.15462	0.883408	1.68266	2.00427	1.2816	1.38846	1.65262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	P32916	Signal recognition particle receptor subunit alpha homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRP101 PE=1 SV=2	SRP101	82461.0	5.95919	0.00436137	32	62	2	1	1	1	1	126	734470.0	719904.0	1.335e+06	2.43617e+06	1.10953e+06	863404.0	1.38975e+06	2.65493e+06	0.0	0.0	1.0	0.980168	1.81764	3.31691	1.51066	1.17555	1.89218	3.61476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	P32911	Eukaryotic translation initiation factor eIF-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI1 PE=1 SV=1	SUI1	15077.4	6.26455	0.0	63	99	4	2	1	3	2	126	950479.0	1.59637e+06	2.13739e+06	5.78271e+06	943467.0	1.63036e+06	2.80245e+06	8.82213e+06	0.0	0.0	1.0	1.67954	2.24875	6.084	0.992623	1.71531	2.94846	9.28178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Q04438	Stationary phase protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPG4 PE=1 SV=1	SPG4	15159.9	6.62589	0.000720981	40	40	1	1	0	1	1	126	1.31239e+06	8.55045e+06	5.93437e+06	3.48355e+06	1.46427e+06	9.16825e+06	6.03385e+06	2.68016e+06	117917.0	120672.0	1.0	6.5152	4.52182	2.65436	1.11573	6.98594	4.59762	2.04221	0.0898494	0.0919485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	Q04439	Myosin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MYO5 PE=1 SV=1	MYO5	160323.0	6.3364	0.0	55	55	1	1	0	1	1	126	786405.0	2.13266e+06	4.28321e+06	1.07655e+07	879769.0	2.6543e+06	5.46559e+06	1.29969e+07	0.0	0.0	1.0	2.71191	5.44656	13.6895	1.11872	3.37523	6.95009	16.527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	Q04432	Glutathione-independent glyoxalase HSP31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP31 PE=1 SV=1	HSP31	31206.2	6.47285	0.0	85	85	2	1	1	1	1	126	239715.0	2.26814e+06	4.03712e+06	9.63711e+06	551438.0	4.04606e+06	4.94506e+06	8.24566e+06	0.0	74088.4	1.0	9.46182	16.8414	40.2024	2.30039	16.8786	20.6289	34.3978	0.0	0.309069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
