protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30619	Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC1 PE=1 SV=1	SEC1	96775.9	6.47892	0.0	69	304	8	6	4	4	4	126	7.00999e+06	7.11683e+06	7.5022e+06	6.84482e+06	8.39839e+06	7.74953e+06	9.01695e+06	7.96702e+06	78435.8	159756.0	1.0	1.01524	1.07022	0.976437	1.19806	1.1055	1.2863	1.13652	0.0111891	0.0227898	0.0	0.19906	0.239298	0.172616	0.0647218	0.235809	0.314911	0.329023	0.0252319	0.0513918
2	P39976	D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1	DLD3	64698.8	7.46691	0.0	67	386	12	7	5	7	5	126	2.37664e+07	2.3763e+07	2.63143e+07	2.80681e+07	2.97426e+07	2.80024e+07	3.12642e+07	3.36717e+07	294511.0	864512.0	1.0	0.999856	1.10694	1.17542	1.25214	1.17939	1.31419	1.40891	0.0121328	0.0354353	0.0	0.138231	0.238591	0.646164	0.17381	0.303561	0.311839	1.36008	0.0354129	0.0862959
3	P25379	Catabolic L-serine/threonine dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHA1 PE=1 SV=2	CHA1	46378.3	8.05717	0.00113636	44	110	6	3	4	2	2	126	2.1474e+07	1.92282e+07	1.64763e+07	1.29473e+07	2.66212e+07	2.0817e+07	1.9517e+07	1.35549e+07	121899.0	229112.0	1.0	0.895418	0.76727	0.602932	1.2397	0.969407	0.908868	0.631226	0.00567657	0.0106693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	P25375	Saccharolysin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRD1 PE=1 SV=1	PRD1	95860.0	7.67621	0.0	77	556	16	10	6	10	7	126	3.83355e+07	3.60829e+07	3.73521e+07	3.64153e+07	4.31109e+07	4.17457e+07	4.44147e+07	3.52674e+07	1.11074e+06	893870.0	1.0	0.941476	0.974489	0.948916	1.12559	1.09035	1.16044	0.920709	0.0290018	0.0233875	0.0	0.0725814	0.0974281	0.157493	0.1113	0.182016	0.144162	0.167574	0.0412956	0.0235019
5	P25374	Cysteine desulfurase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NFS1 PE=1 SV=2	NFS1	61420.6	7.48272	0.0	82	292	8	5	2	4	4	126	1.50799e+07	1.34728e+07	1.47873e+07	1.32199e+07	1.79962e+07	1.54701e+07	1.57507e+07	1.23917e+07	487569.0	294834.0	1.0	0.893432	0.9806	0.87666	1.19339	1.02588	1.04449	0.821739	0.0323325	0.0195515	0.0	0.128046	0.107217	0.0844925	0.151344	0.178457	0.202818	0.201409	0.0261827	0.0408034
6	P25376	General amino acid permease AGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGP1 PE=1 SV=3	AGP1	76441.2	5.95341	0.0	57	143	3	3	2	1	1	126	3.24466e+06	2.69799e+06	3.52326e+06	1.69917e+06	3.54157e+06	2.92928e+06	3.0011e+06	1.40536e+06	0.0	0.0	1.0	0.831517	1.08586	0.523681	1.09151	0.9028	0.924936	0.433131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P25371	Probable ATP-dependent permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADP1 PE=1 SV=2	ADP1	132559.0	7.13814	0.0	68	235	8	4	6	2	2	126	6.77599e+06	6.66329e+06	6.04622e+06	6.64464e+06	6.73311e+06	5.77993e+06	7.29192e+06	5.00102e+06	0.0	0.0	1.0	0.983368	0.8923	0.980616	0.993671	0.853001	1.07614	0.73805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	P25373	Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1	GRX1	14319.8	7.71776	0.0	78	248	9	4	2	6	4	126	1.89684e+07	1.72009e+07	1.74249e+07	1.68611e+07	2.09219e+07	1.89135e+07	2.19234e+07	1.79703e+07	287951.0	504145.0	1.0	0.906829	0.919827	0.897486	1.10345	0.997105	1.15609	0.947379	0.0150834	0.0268805	0.0	0.171817	0.209856	0.269184	0.0989718	0.131466	0.162774	0.252226	0.0276396	0.0808209
9	P25372	Thioredoxin-3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX3 PE=1 SV=1	TRX3	17629.7	7.49813	0.0	70	160	4	3	0	3	3	126	1.14086e+07	1.12518e+07	1.18985e+07	1.02586e+07	1.25033e+07	1.28445e+07	1.3367e+07	1.09604e+07	345424.0	272544.0	1.0	0.98625	1.04294	0.899197	1.09595	1.12586	1.17166	0.960709	0.0302775	0.0238893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	Q03048	Cofilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COF1 PE=1 SV=1	COF1	18468.7	7.09535	0.0	111	227	13	3	7	6	3	126	1.21625e+07	1.03067e+07	9.52771e+06	9.27339e+06	1.21574e+07	9.57441e+06	1.22556e+07	1.00062e+07	293012.0	57729.8	1.0	0.847392	0.779805	0.761594	0.992244	0.786108	1.00318	0.828513	0.0236798	0.00464199	0.0	0.20446	0.3426	0.341265	0.360909	0.319194	0.546214	0.433588	0.078026	0.00945244
