protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30619	Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC1 PE=1 SV=1	SEC1	97603.0	6.55404	0.0	45	114	3	3	0	3	3	126	8.56297e+06	1.43451e+07	2.87437e+07	7.16473e+07	1.0101e+07	1.02797e+07	1.90275e+07	2.94611e+07	789587.0	94406.2	1.0	1.67525	3.35674	8.3671	1.17962	1.20049	2.22207	3.44053	0.0922095	0.0110249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	P39976	D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1	DLD3	65189.5	6.73901	0.0	50	228	6	4	2	4	4	126	1.09352e+07	1.5515e+07	2.86851e+07	1.17723e+08	1.31339e+07	1.23033e+07	1.90589e+07	5.174e+07	1.02865e+06	40380.6	1.0	1.41881	2.62319	10.7655	1.20107	1.12511	1.7429	4.73151	0.0940675	0.00369272	0.0	0.263169	1.02656	7.09177	0.136525	0.256215	0.637675	3.72506	0.296616	0.0157432
3	P39979	D-amino-acid N-acetyltransferase HPA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPA3 PE=1 SV=2	HPA3	21965.9	7.24598	0.00119976	37	98	3	3	0	3	3	126	9.37913e+06	2.76732e+07	7.83016e+07	1.75317e+08	1.06548e+07	1.82435e+07	4.44258e+07	6.61556e+07	205957.0	35102.8	1.0	2.9505	8.3485	18.6923	1.13602	1.94512	4.73666	7.05349	0.0219591	0.00374265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	P25375	Saccharolysin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRD1 PE=1 SV=1	PRD1	96531.0	7.19455	0.0	46	148	5	4	1	4	4	126	2.90427e+07	5.13536e+07	8.43358e+07	1.66454e+08	2.56925e+07	3.42132e+07	6.28587e+07	1.05356e+08	183576.0	0.0	1.0	1.76821	2.90385	5.73134	0.884644	1.17803	2.16435	3.62761	0.00632088	0.0	0.0	1.5987	4.30256	9.59356	0.226585	1.04539	3.21798	5.80218	0.0224137	0.0
5	P25374	Cysteine desulfurase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NFS1 PE=1 SV=2	NFS1	61943.3	7.16836	0.0	72	244	7	4	0	7	4	126	1.26658e+07	2.81508e+07	6.5233e+07	1.76949e+08	1.489e+07	1.93173e+07	3.12681e+07	3.90273e+07	552303.0	135669.0	1.0	2.18012	4.98075	13.5106	1.16964	1.51501	2.41153	2.98361	0.0404337	0.0101104	0.0	2.45841	7.23433	17.972	0.68222	1.62793	3.04356	4.42991	0.166064	0.0465221
6	P25371	Probable ATP-dependent permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADP1 PE=1 SV=2	ADP1	133422.0	6.5156	0.0	73	202	6	4	2	4	3	126	9.3941e+06	1.95802e+07	3.21904e+07	6.77275e+07	1.05377e+07	1.43978e+07	2.57131e+07	4.22248e+07	926882.0	138719.0	1.0	2.0843	3.42666	7.20958	1.12174	1.53264	2.73715	4.49482	0.0986663	0.0147666	0.0	0.474084	0.897696	6.02434	0.27991	0.403565	0.819746	3.22957	0.124857	0.0275059
7	P25373	Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1	GRX1	14413.9	7.63512	0.0	61	196	6	4	0	6	4	126	3.51924e+07	4.88706e+07	7.7292e+07	1.24705e+08	3.32708e+07	3.05158e+07	5.01849e+07	6.64049e+07	1.12691e+06	324467.0	1.0	1.43002	2.23808	3.63531	0.948895	0.873084	1.44367	1.97689	0.0341099	0.00921982	0.0	2.03635	4.72097	10.2601	0.235219	1.02823	2.81319	5.17076	0.172814	0.0701075
8	P25372	Thioredoxin-3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX3 PE=1 SV=1	TRX3	17783.9	7.33215	0.000626174	39	39	1	1	0	1	1	126	2.41092e+06	4.79588e+06	1.46921e+07	4.13698e+07	2.95182e+06	2.55725e+06	7.36632e+06	1.50076e+07	331990.0	0.0	1.0	1.98923	6.09397	17.1593	1.22435	1.0607	3.0554	6.22483	0.137702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	Q03048	Cofilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COF1 PE=1 SV=1	COF1	18626.9	7.49017	0.0	74	131	6	3	1	5	3	126	6.64973e+06	3.51631e+07	7.79751e+07	2.07807e+08	8.68919e+06	2.30598e+07	4.80317e+07	9.0396e+07	782411.0	279690.0	1.0	5.20829	11.3285	31.0734	1.29512	3.39133	7.08306	13.3619	0.117661	0.0420604	0.0	9.67432	25.8778	65.2407	1.56008	6.23645	15.5843	25.7843	0.42981	0.181066
10	Q07963	E3 ubiquitin-protein ligase UBR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBR2 PE=1 SV=1	UBR2	249958.0	6.02651	0.00069979	43	81	4	2	3	1	1	126	1.17926e+06	2.38666e+06	4.27507e+06	8.08673e+06	1.05591e+06	1.2953e+06	4.54736e+06	7.90092e+06	182257.0	87441.6	1.0	2.02387	3.62523	6.85749	0.8954	1.09841	3.85613	6.69992	0.154552	0.0741498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	Q00245	GTP-binding protein RHO3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO3 PE=1 SV=2	RHO3	28915.9	6.56425	0.0	61	102	3	2	1	2	2	126	7.63913e+06	1.0216e+07	1.71839e+07	3.22267e+07	6.42743e+06	6.52957e+06	1.05281e+07	1.27879e+07	160307.0	48699.4	1.0	1.33732	2.24945	4.21863	0.841382	0.854753	1.37818	1.674	0.0209849	0.00637499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	P21182	S-adenosylmethionine decarboxylase proenzyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPE2 PE=1 SV=1	SPE2	55050.3	6.35023	0.0	46	46	3	1	2	1	1	126	433181.0	1.90017e+06	5.60975e+06	1.98538e+07	900999.0	1.09504e+06	4.02606e+06	7.26507e+06	72873.6	0.0	1.0	4.38654	12.9501	45.8325	2.07996	2.5279	9.29418	16.7715	0.168229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	P46784|Q08745	40S ribosomal protein S10-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10B PE=1 SV=1|40S ribosomal protein S10-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10A PE=1 SV=1	RPS10B|RPS10A	14925.2|14926.2	8.07279	0.0	63	237	13	5	4	9	5	126	2.46374e+07	5.43544e+07	2.00204e+08	8.39978e+08	3.27163e+07	4.16343e+07	1.10416e+08	1.71105e+08	3.20443e+06	1.67374e+06	1.0	2.21341	8.14762	34.0665	1.36823	1.66155	4.47665	7.00372	0.129273	0.0687793	0.0	2.1324	10.5593	51.6475	2.03199	1.69848	5.27255	9.91698	0.323762	0.129719
14	P32915	Protein transport protein SEC61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC61 PE=1 SV=1	SEC61	58481.6	6.98533	0.0	47	121	8	3	1	7	3	126	3.60507e+07	5.34219e+07	8.69666e+07	1.79216e+08	3.48536e+07	4.04406e+07	6.89865e+07	9.14145e+07	1.08094e+06	50929.6	1.0	1.48734	2.4447	5.0274	0.967759	1.12177	1.91359	2.54665	0.0300098	0.0013111	0.0	0.708724	2.08599	6.37201	0.0894638	0.603725	1.75785	2.75424	0.0390134	0.00487583
15	Q04439	Myosin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MYO5 PE=1 SV=1	MYO5	160323.0	6.21907	0.0	80	336	6	5	2	4	4	126	4.62679e+06	6.87139e+06	1.0732e+07	3.27356e+07	4.85777e+06	4.40149e+06	7.53492e+06	1.14765e+07	382838.0	89829.2	1.0	1.48513	2.31954	7.07523	1.04992	0.951305	1.62854	2.48045	0.0827438	0.019415	0.0	0.309559	0.900779	8.63508	0.476165	0.282718	0.752805	2.37966	0.313416	0.07354
16	Q04432	Glutathione-independent glyoxalase HSP31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP31 PE=1 SV=1	HSP31	31206.2	6.9693	0.0	77	221	8	4	4	4	3	126	7.91342e+06	4.43798e+07	5.86637e+07	9.68512e+07	8.38564e+06	3.19378e+07	4.90788e+07	8.93315e+07	73091.3	0.0	1.0	5.56172	7.41319	12.2388	1.05967	4.0359	6.20198	11.2886	0.00923637	0.0	0.0	11.6482	17.0769	26.4731	0.308223	7.21536	15.0588	24.3042	0.0197196	0.0
17	P04385	Galactokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAL1 PE=1 SV=4	GAL1	67878.4	7.12094	0.0	93	580	32	11	17	15	10	126	3.8996e+07	6.08574e+07	1.53966e+08	5.08076e+08	4.13627e+07	3.10465e+07	6.37832e+07	1.11294e+08	1.90984e+06	555150.0	1.0	1.56327	3.93775	12.9591	1.06635	0.798425	1.62925	2.86963	0.0476799	0.0137357	0.0	0.747882	4.13288	16.7137	0.389918	0.249572	1.04563	2.94037	0.0554152	0.019295
18	P00549	Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2	CDC19	63925.3	8.61265	0.0	101	1315	115	23	56	53	21	126	1.34172e+08	2.0292e+08	5.61471e+08	2.18926e+09	1.62966e+08	1.49883e+08	4.36342e+08	1.08218e+09	1.08531e+07	8.68389e+06	1.0	1.51866	4.21293	16.4182	1.21824	1.1111	3.26259	8.09568	0.0805732	0.0620441	0.0	0.734808	2.72274	12.1179	0.573804	0.540278	2.20957	5.96007	0.0770653	0.100058
19	P04037	Cytochrome c oxidase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX4 PE=1 SV=1	COX4	19811.6	7.71383	0.0	60	97	6	2	0	4	2	126	2.6067e+07	3.16134e+07	5.30722e+07	9.88219e+07	2.02795e+07	2.06099e+07	2.62852e+07	2.34627e+07	651800.0	402550.0	1.0	1.21278	2.03599	3.79107	0.777973	0.790648	1.00837	0.900092	0.0250048	0.0154429	0.0	1.23477	3.5387	9.92367	0.358599	0.65626	0.922419	0.979002	0.0374195	0.0361862
20	P00729	Carboxypeptidase Y OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRC1 PE=1 SV=1	PRC1	67436.6	7.61761	0.0	48	117	7	3	0	7	3	126	2.37808e+07	1.44434e+08	2.83637e+08	4.29608e+08	2.56718e+07	8.34607e+07	2.04541e+08	3.23409e+08	1.37606e+06	67633.7	1.0	6.1373	11.7024	18.0653	1.07914	3.43186	8.55872	13.5996	0.0565892	0.00273089	0.0	15.5734	38.0638	58.8296	0.55345	9.29709	27.4682	46.5337	0.149607	0.00841238
21	P23542	Aspartate aminotransferase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAT2 PE=1 SV=3	AAT2	53265.0	7.37272	0.0	93	324	12	5	4	8	5	126	1.38399e+07	3.41188e+07	7.72674e+07	1.93652e+08	1.33759e+07	2.35691e+07	4.62419e+07	5.8179e+07	1.05085e+06	583426.0	1.0	2.45132	5.58293	13.9306	1.00622	1.69703	3.34119	4.23961	0.0757168	0.0421518	0.0	3.43673	9.72458	26.69	2.05505	2.42931	5.43998	7.51506	0.189243	0.0592568
22	Q05471	Helicase SWR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWR1 PE=1 SV=1	SWR1	208565.0	6.57591	0.0108161	28	28	1	1	0	1	1	126	3.60608e+06	4.98288e+06	1.03929e+07	2.55123e+07	4.08152e+06	3.60462e+06	6.41921e+06	8.40198e+06	236012.0	0.0	1.0	1.3818	2.88206	7.0748	1.13184	0.999595	1.78011	2.32995	0.0654483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	P19073	Cell division control protein 42 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC42 PE=1 SV=2	CDC42	24881.6	6.49924	0.0	74	74	1	1	0	1	1	126	1.71908e+06	3.45832e+06	8.0419e+06	2.41178e+07	1.67352e+06	2.3743e+06	5.07401e+06	7.70478e+06	150893.0	0.0	1.0	2.01173	4.67803	14.0295	0.973499	1.38115	2.95159	4.48193	0.0877756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	Q04177	U3 small nucleolar RNA-associated protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP5 PE=1 SV=1	UTP5	82320.8	6.49825	0.000679348	42	42	1	1	0	1	1	126	4.74099e+06	5.3666e+06	8.53823e+06	2.95693e+07	4.47987e+06	3.26735e+06	5.77097e+06	1.1848e+07	227757.0	0.0	1.0	1.13196	1.80094	6.23695	0.944923	0.68917	1.21725	2.49905	0.04804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	P40169	Uncharacterized plasma membrane protein YNL194C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL194C PE=1 SV=1	YNL194C	37665.0	6.87869	0.00069979	43	72	2	2	0	2	2	126	5.21367e+06	2.68686e+07	2.76137e+07	3.8824e+07	4.26176e+06	1.86512e+07	2.07576e+07	3.28186e+07	0.0	0.0	1.0	5.15349	5.2964	7.44658	0.817421	3.57738	3.98138	6.29472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
