protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30619	Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC1 PE=1 SV=1	SEC1	96775.9	6.39995	0.0	89	332	10	7	6	3	3	126	5.66717e+06	5.2519e+06	5.28848e+06	4.18265e+06	5.9258e+06	6.21959e+06	4.72999e+06	4.27559e+06	0.0	0.0	1.0	0.926723	0.933177	0.738049	1.04564	1.09748	0.83463	0.754449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	P39976	D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1	DLD3	64698.8	6.48708	0.0	70	290	9	5	5	3	2	126	3.65757e+06	3.42429e+06	2.87648e+06	2.21959e+06	3.84333e+06	3.34896e+06	2.78047e+06	2.50303e+06	0.0	81691.0	1.0	0.936219	0.786446	0.606849	1.05079	0.915625	0.760196	0.684341	0.0	0.0223348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	P39979	D-amino-acid N-acetyltransferase HPA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPA3 PE=1 SV=2	HPA3	21781.6	7.60815	0.00108853	43	103	4	3	1	2	2	126	9.40351e+06	8.54525e+06	8.23156e+06	5.72528e+06	9.7792e+06	9.66555e+06	8.3786e+06	6.17049e+06	128244.0	0.0	1.0	0.90873	0.875371	0.608845	1.03995	1.02787	0.891008	0.656191	0.0136379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	P25379	Catabolic L-serine/threonine dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHA1 PE=1 SV=2	CHA1	46378.3	6.27741	0.0	65	65	3	1	2	1	1	126	485253.0	500793.0	543872.0	249573.0	603407.0	459327.0	443174.0	235936.0	0.0	0.0	1.0	1.03203	1.1208	0.514316	1.24349	0.946573	0.913285	0.486213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	P25375	Saccharolysin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRD1 PE=1 SV=1	PRD1	95860.0	7.20737	0.0	93	544	14	10	4	10	7	126	1.55485e+07	1.66875e+07	1.47691e+07	1.39599e+07	1.88595e+07	1.65907e+07	1.38315e+07	1.37212e+07	492788.0	82099.9	1.0	1.07631	0.947566	0.897805	1.20671	1.06218	0.887057	0.884092	0.0306293	0.00509343	0.0	0.184524	0.24835	0.292435	0.411846	0.202465	0.22899	0.339405	0.0951421	0.0225297
6	P25374	Cysteine desulfurase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NFS1 PE=1 SV=2	NFS1	61420.6	7.62717	0.0	80	289	14	6	6	3	3	126	4.8592e+06	4.36766e+06	4.06537e+06	3.45507e+06	4.55153e+06	4.88968e+06	3.67433e+06	3.22928e+06	199313.0	0.0	1.0	0.898844	0.836633	0.711037	0.936683	1.00627	0.756159	0.66457	0.0410176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P25376	General amino acid permease AGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGP1 PE=1 SV=3	AGP1	76441.2	6.46602	0.0	52	166	5	4	3	2	2	126	8.02398e+06	7.12325e+06	6.05343e+06	3.97582e+06	6.92704e+06	5.6175e+06	4.31162e+06	2.64378e+06	0.0	0.0	1.0	0.887745	0.754418	0.495492	0.863291	0.700089	0.537342	0.329485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	P25371	Probable ATP-dependent permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADP1 PE=1 SV=2	ADP1	132559.0	6.6115	0.0	63	245	6	5	3	3	3	126	4.36564e+06	4.37542e+06	3.97121e+06	3.79645e+06	4.32781e+06	4.5805e+06	3.66075e+06	2.74297e+06	0.0	0.0	1.0	1.00224	0.909652	0.86962	0.991335	1.04922	0.838538	0.628308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	P25373	Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1	GRX1	14319.8	7.82349	0.0	96	442	13	7	3	9	5	126	1.43796e+07	1.29794e+07	1.23434e+07	1.07735e+07	1.46683e+07	1.32695e+07	1.16589e+07	9.56651e+06	471050.0	145415.0	1.0	0.902627	0.861926	0.750526	1.02144	0.930181	0.811815	0.664481	0.0321089	0.00951881	0.0	0.14929	0.643483	0.13453	0.200322	0.593244	0.0819197	0.112013	0.108275	0.0464121
10	P25372	Thioredoxin-3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX3 PE=1 SV=1	TRX3	17629.7	7.12398	0.0	74	213	4	3	0	2	2	126	2.96676e+06	2.50367e+06	2.09818e+06	2.80704e+06	2.9033e+06	2.44116e+06	2.55095e+06	2.89522e+06	91003.7	0.0	1.0	0.843906	0.707229	0.946165	0.978609	0.822836	0.859843	0.975886	0.0306745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
