protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30619	Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC1 PE=1 SV=1	SEC1	96775.9	7.29961	0.0	75	255	14	5	6	6	5	126	1.11604e+08	1.15178e+08	1.23443e+08	8.93034e+07	1.01233e+08	9.18844e+07	9.02021e+07	6.63257e+07	1.22626e+06	198341.0	1.0	1.03202	1.1063	0.80184	0.908932	0.823307	0.810107	0.597622	0.0113067	0.00177374	0.0	0.0393285	0.126563	0.263443	0.11324	0.122984	0.114448	0.15112	0.0224568	0.0107466
2	P39976	D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1	DLD3	64698.8	7.32808	0.0	57	322	21	6	12	9	6	126	9.15212e+07	9.39229e+07	1.0027e+08	8.88621e+07	8.4649e+07	7.98375e+07	7.7557e+07	5.75767e+07	1.20933e+06	857717.0	1.0	1.02721	1.09681	0.969521	0.924879	0.871861	0.845986	0.628235	0.0132175	0.00958146	0.0	0.14995	0.154161	0.213221	0.130471	0.088459	0.0700341	0.13623	0.0131161	0.00879389
3	P39979	D-amino-acid N-acetyltransferase HPA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPA3 PE=1 SV=2	HPA3	21781.6	8.02249	0.0	44	249	14	7	5	8	6	126	1.58948e+08	1.76958e+08	1.75909e+08	1.25609e+08	1.48974e+08	1.5056e+08	1.37901e+08	1.05121e+08	845403.0	288934.0	1.0	1.11528	1.10005	0.788653	0.937427	0.945862	0.866836	0.661799	0.00521628	0.00170796	0.0	0.175951	0.369878	0.347314	0.126837	0.177183	0.0963445	0.139593	0.0134805	0.00807129
4	P25375	Saccharolysin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRD1 PE=1 SV=1	PRD1	95860.0	7.77442	0.0	75	795	35	17	12	23	13	126	2.90317e+08	3.09767e+08	3.34752e+08	2.64627e+08	3.04518e+08	2.98779e+08	2.67736e+08	2.10594e+08	3.48787e+06	1.8685e+06	1.0	1.06823	1.15444	0.913889	1.04187	1.02247	0.919003	0.723371	0.0119746	0.00615441	0.0	0.105274	0.12551	0.153132	0.218918	0.281873	0.127064	0.155033	0.0202393	0.0135826
5	P25374	Cysteine desulfurase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NFS1 PE=1 SV=2	NFS1	61420.6	8.00555	0.0	94	456	23	9	6	16	8	126	1.55538e+08	1.72251e+08	1.95059e+08	1.59825e+08	1.40098e+08	1.38927e+08	1.42901e+08	1.09805e+08	1.90128e+06	1.38325e+06	1.0	1.10329	1.24819	1.01686	0.898042	0.890598	0.914059	0.696387	0.0116848	0.00830585	0.0	0.180916	0.456605	0.66723	0.146412	0.206164	0.2643	0.415643	0.0325532	0.0284597
6	P25376	General amino acid permease AGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGP1 PE=1 SV=3	AGP1	76441.2	7.12926	0.00724008	31	60	2	2	1	1	1	126	7.82812e+06	1.17275e+07	1.05228e+07	9.77803e+06	7.15228e+06	1.04004e+07	8.72878e+06	5.88297e+06	29643.1	0.0	1.0	1.49813	1.34423	1.24909	0.913665	1.32859	1.11506	0.751518	0.00378674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P25371	Probable ATP-dependent permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADP1 PE=1 SV=2	ADP1	132559.0	7.44335	0.0	60	398	27	9	18	9	7	126	1.16744e+08	1.15717e+08	1.23754e+08	9.72328e+07	1.11276e+08	1.05081e+08	1.01037e+08	8.47156e+07	692771.0	77607.7	1.0	0.990871	1.06353	0.82522	0.953851	0.900173	0.866965	0.723005	0.00577773	0.000637413	0.0	0.111273	0.162592	0.356749	0.0756512	0.0508396	0.140966	0.225074	0.0106121	0.00150246
8	P25373	Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1	GRX1	14319.8	8.37155	0.0	72	278	21	6	10	10	5	126	1.54194e+08	1.52103e+08	1.60705e+08	1.277e+08	1.41494e+08	1.32403e+08	1.2784e+08	1.04131e+08	790887.0	453728.0	1.0	0.981412	1.04243	0.829996	0.91696	0.859579	0.827666	0.669366	0.00500664	0.00299131	0.0	0.26521	0.098794	0.135099	0.122262	0.275641	0.190723	0.292842	0.00892651	0.00725477
9	P25372	Thioredoxin-3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX3 PE=1 SV=1	TRX3	17629.7	7.70534	0.0	49	169	6	4	1	4	3	126	4.74532e+07	5.19144e+07	5.95728e+07	4.14503e+07	4.99966e+07	4.64228e+07	4.7367e+07	3.46788e+07	609004.0	119591.0	1.0	1.09401	1.2554	0.873499	1.0536	0.978287	0.998184	0.7308	0.0128338	0.00252019	0.0	0.112801	0.0966805	0.287523	0.0710673	0.0337047	0.0796524	0.127262	0.041087	0.0102452
10	Q03048	Cofilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COF1 PE=1 SV=1	COF1	18468.7	7.74069	0.0	91	313	24	5	15	9	5	126	1.02552e+08	1.04674e+08	1.02049e+08	9.42098e+07	9.33929e+07	9.2378e+07	7.84692e+07	6.14081e+07	579676.0	154091.0	1.0	1.01703	0.995852	0.918696	0.911939	0.905221	0.769143	0.601281	0.00570316	0.00142814	0.0	1.28011	0.256564	0.141111	0.230163	0.411266	0.268247	0.338431	0.0216234	0.00601478
